Nome,Prezzo,Gratuito,Orario,Ore Visite,Firenze Card;
Galleria degli Uffizi,25,No,08:15–21:30,13,Si;
Museo di San Marco,8,No,08:30–13:50,5,Si;
Galleria dell'Accademia,16,No,08:15–18:20,10,Si;
Museo delle Cappelle Medicee,9,No,08:15-18:50,10,Si;
Museo Nazionale del Bargello,10,No,08:15-13:50,5,Si;
Galleria del Costume - Palazzo Pitti,16,No,13:30–18:30,5,Si;
Museo degli Argenti,16,No,08:15-18:30,10,Si;
Galleria d'Arte Moderna - Palazzo Pitti,16,No,08:30–18:30,10,Si;
Museo Stibbert,10,No,10:00-14:00,4,Si;
Museo Galileo,13,No,09:30-18:00,9,Si;
Palazzo Vecchio - Quartieri Monumentali,12.50,No,09:00-19:00,10,Si;
Museo e Chiostri Monumentali di Santa Maria Novella,7.50,No,09:00-17:30,8,Si;
Fondazione Salvatore Romano nel Cenacolo di Santo Spirito,10,No,11:00-17:00,6,Si;
Nuovo Museo dell'Opera del Duomo,10,No,08:30-19:00,11,Si;
Museo Marino Marini,15,No,10:00-19:00,9,Si;
Museo Luigi Bellini,0,Si,10:00–18:00,8,No;
Fondazione Museo del Calcio,9,No,10:00-18:00,8,Si;
Museo Salvatore Ferragamo,10,No,10:30–19:30,9,Si;
Museo Diocesano di S. Stefano al Ponte,0,Si,14.00-18.00,4,No;
Fondazione Scienza e Tecnica,10,No,09:00–16:00,7,Si;
Museo di Casa Martelli,0,Si,13:30–17:30,4,Si;
Museo e Istituto Fiorentino di Preistoria,4.50,No,09:30–18:30,9,Si;
Fondazione Roberto Capucci,0,Si,Chiuso,0,No;
Museo degli Innocenti (MUDI),9,No,09:30–19:00,10,Si;
Museo del Ciclismo  Gino Bartali,0,Si,10:00-13:00,3,Si;
Museo Ebraico e Sinagoga,6.5,No,10:00-17:30,7,Si;
Il Giardino di Archimede.  Un Museo per la Matematica,0,Si,09:00–13:00,4,No;
Museo Pietro Annigoni,10,No,10:00-18:00,8,No;
Museo di Palazzo Davanzati,6,No,08:15–18:50,10,Si;
Museo della Misericordia,0,Si,10:00-16:00,6,Si;
Museo del Bigallo,0,Si,10:00-18:50,8,Si;
Museo dell'Opificio delle Pietre Dure,6,No,08:15-14:00,6,Si;
Museo delle Porcellane - Palazzo Pitti,10,No,08:15-18-30,10,Si;
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Antropologia ed Etnologia,6,No,09:00-17:00,9,Si;
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Botanica,6,No,10:00-18:00,8,No;
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Geologia e Paleontologia,6,No,09:00–17:00,9,Si;
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Mineralogia e Litologia,10,No,09:00–17:00,9,No;
Orto Botanico sezione del Museo di Storia Naturale,6,No,10:00–18:00,8,Si;
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Zoologia La Specola,10,No,09:00–17:00,9,No;
Museo Archeologico Nazionale,8,No,08:30–19:00,11,Si;
Galleria Palatina e Appartamenti Reali,16,No,08:15-18:30,10,Si;
Museo delle Carrozze,0,Si,08:15-18:30,10,No;
Museo della Fondazione Horne,7,No,10:00-14:00,4,Si;
Museo dell'Opera di Santa Croce,8,No,09:30-17:30,9,No;
Collezione Contini Bonacossi,0,Si,08:15-18:50,10,No;
Corridoio Vasariano,40,No,10:15–16:35,6,No;
Gabinetto Disegni e Stampe degli Uffizi,25,No,08:15-18:00,10,No;
Museo del Tesoro di San Lorenzo,9,No,10:00-17:30,7,No;
Mus.e,17.50,No,09:00-19:00,10,No;
Museo Stefano Bardini,6,No,14:00-20:00,6,Si;
Museo dell'Officina Profumo - Farmaceutica di Santa Maria Novella,0,Si,10:00-20:00,10,No;
Museo Torrini,0,Si,10:00-19:00,9,No;
Torre San Niccolo',6,No,17:00-20:00,3,No;
Casa Vasari,7,No,08:30-19:30,11,No;
Gucci Museo,8,No,10:00-20:30,10,No;
Palazzo Medici Riccardi,10,No,09.00-19.00,10,Si;
Museo di Simbologia Massonica,7,No,10:00-19:00,9,No;
Torre di Palazzo Vecchio,12.50,No,09:15-16:00,7,Si;
Museo Novecento,9.50,No,11:00–20:00,9,Si;
Museo del Pegaso,0,Si,08:15–18:50,10,No;
Percorso Museale di Santa Maria Nuova,0,Si,09:00–17:30,8,No;
Museo di Storia Naturale dell'Universita'  di Firenze - Sezione di Biomedica,10,No,09:00-17:00,8,No;
